id;event_id;event_name;flow_id;transaction_date;parameters;status;error_code;error_info;error_code_retriable;flow_id_id
1;addd5b25-b063-4fb2-a81f-10cddac9f143;Borders Strategist Japan;f3113428-f126-48a5-9ad0-be18a6327677;2020-05-11T05:33:52;Dynamic Generic approach;Namibia;Belarus;Auto Loan Account circuit;Beauty;1
2;2e211843-aadc-4175-939d-d6d306e6ffff;Metal Terrace;8afbac5a-dc76-4d54-8aa4-405373a6cf8e;2020-05-10T17:51:29;bluetooth Refined Rubber Soap Netherlands;quantify Unbranded;payment withdrawal back up;SAS;Bedfordshire;2
3;f8fc9cf1-8bc4-40d0-a583-b5feac5653b0;United Arab Emirates Industrial payment;70556e4c-ac8e-40b3-96c3-dc343383c157;2020-05-11T03:56:05;Idaho;input Health;COM Swedish Krona;synergies;deliver Regional Dominica;3
4;4f336295-c757-4646-89ec-d1a4165c1032;calculating orchestrate;25ad8caa-f25e-416b-a6ff-ea24d0796440;2020-05-11T04:12:53;digital;frame payment;system-worthy Path;multi-byte Ohio relationships;primary Tools AI;4
5;6d751589-dca7-4204-90d0-ab05950fb095;partnerships;8bb047c2-cb26-463b-bd0b-974d77640f56;2020-05-11T07:16:04;Automotive USB Solutions;Florida Global;disintermediate backing up Hryvnia;program Ergonomic Investor;indexing Product Haiti;5
6;f19f043f-72b4-4ce4-9fdf-93fd22f6de25;Awesome Metal Latvian Lats;a0570566-b852-495a-8f40-8597b7f56434;2020-05-10T23:04:48;HTTP;Checking Account RAM synthesize;Frozen payment SMTP;Bedfordshire connecting;global;6
7;b3c01a58-0c88-4681-a8f5-d11efe118878;Investor;63ccf0bb-eaff-46f4-b074-797c30501580;2020-05-10T19:16:59;Programmable input;Bedfordshire;vortals French Guiana;1080p empowering Tasty Soft Salad;West Virginia Soft;7
8;bcdd1089-3d96-4498-8cb8-4b3fe5fdff53;Shoes;fc4118ac-c7ff-4fc8-b4e7-fc3218593ea2;2020-05-10T18:56:49;Frozen transmitting;Indiana lime maximize;Cambridgeshire Borders;capacitor composite;schemas Guernsey;8
9;cc47b3d0-02b7-43e4-943a-74f3cd11c9d0;Legacy;84915a9d-b891-41e5-b62d-b7ca55a53b26;2020-05-10T14:52:46;Optimization microchip benchmark;Cloned application scalable;empower Tuna;Future Club;Computers Licensed Wooden Cheese;9
10;e6736c8a-c28f-4332-856a-620898c8a2ec;Uzbekistan Sum Data;88a0e8d1-3092-4de5-a322-dbaa4aeb88cc;2020-05-10T11:31:58;wireless Ball Small Rubber Pants;firmware;optical Aruba XML;firewall Integrated;matrix;10
