id;flow_id;flow_name;mediation_system;source;destination;file_name;transaction_date;transaction_id;format;source_endpoint_interface;destination_endpoint_interface;acknowledgment_expected;acknowledgment_received
1;88abd9d1-755a-4703-968b-31641474625c;National portals;Rustic Cambridgeshire;Oklahoma;metrics feed Uzbekistan;New Zealand Dollar index;2020-05-11;d862af45-94ca-49e1-a714-ee442e490b56;Centralized;Phased contingency;alliance;Rest Orchestrator knowledge user;Springs PCI Bacon
2;86740caa-37e5-44d0-95fa-19236f1debc8;Keyboard Human disintermediate;compress Internal;Checking Account synergies;invoice Borders;morph cohesive;2020-05-10;e249d871-ac55-418f-8139-f6b0aa064d00;Sleek Fresh Shoes middleware deploy;synergistic Handcrafted Steel Fish object-oriented;Keyboard Synergistic;grey copying;Consultant Bedfordshire payment
3;d7364103-c4a4-4f85-9c07-55e852efe235;innovative Developer;Intranet reintermediate;Toys Generic;Car;Licensed Mouse Streets;2020-05-11;160677b5-93ef-4624-835e-cdd414ddbe8b;strategy Configuration;attitude-oriented SDR Web;Checking Account;redundant;Tools didactic Metal
4;e1e95a7d-7343-4fd1-8033-67c611e0248b;program Namibia;bifurcated;Ergonomic Rubber Towels Home Mountain;reboot Synchronised;Director Sweden web-readiness;2020-05-11;b6223c86-9145-4e3d-ae00-9ffd5c51bd3a;Rustic Frozen Ball Trafficway;Profit-focused;France Pizza copy;Prairie French Southern Territories benchmark;neural Manager
5;14124391-d368-413e-be6f-08b97932d87c;help-desk;Fantastic Borders mission-critical;CSS withdrawal Mouse;Home Loan Account;sexy utilize;2020-05-10;b8d3dc53-0d21-4590-be36-6b7a992cdc57;Clothing Islands Streamlined;Reactive Engineer Handcrafted Soft Keyboard;Shoes Global North Dakota;Falkland Islands (Malvinas) Steel;RSS Planner deposit
6;8a5a8557-e7ad-42c0-aec9-0c8a5ab1fe23;software;hack auxiliary;Borders;indexing payment;generate Center;2020-05-10;6e07cf71-6f3f-4a2a-b82b-e6a39d9f5c9e;distributed multi-byte;sensor compressing;withdrawal silver;haptic Granite 3rd generation;Wyoming Vermont Table
7;c9071f02-a0fd-4bb3-baad-5271ffaa96d2;Auto Loan Account invoice;robust Rustic Cotton Car mobile;payment Unions;sensor;Gorgeous Rubber Pants global;2020-05-10;edaf76d2-7033-41c6-984a-5f3403e789f8;Future-proofed Balboa US Dollar;core Nevada;Oman;Mongolia communities communities;Avon
8;c0a2b353-10df-4376-8e78-4e04668b1487;Money Market Account Avon interface;architectures Bacon;Industrial;cyan;Analyst override dynamic;2020-05-10;ed4ec812-4202-425a-ba9d-81e215239e79;Awesome;index;magenta quantifying Shoes;CFP Franc Handmade Soft Sausages Clothing;programming FTP
9;3dde82ef-60b8-4946-8c00-ecc6de6aa432;Small user-facing;bus;communities Borders;Tasty monitor Steel;monitoring Haven;2020-05-11;da555fa9-271b-40b5-8a4a-8318b584037e;Industrial Bahamian Dollar;pricing structure;Indiana firewall;Engineer Direct Buckinghamshire;markets Functionality benchmark
10;ccf50664-2ee9-4fce-b3cd-4f172b2d919c;olive Pakistan Rupee Haiti;Spain;Legacy compressing withdrawal;Centralized Customizable;Pennsylvania RSS;2020-05-11;7399718a-71a4-4135-ae16-b70517f63386;Portugal Liechtenstein Specialist;Towels Tasty Graphical User Interface;monetize revolutionize Fish;copying Beauty matrix;Rustic teal leading edge
